11.732   9.448   0.287   1.020   26.512   60.000   0.020   34.477   12.560   6202.069   2259.441   0.290   0.258   1.438   -83.850   0.071   5.521   0.278   60.043   8.712   
12.010   9.726   0.286   1.027   26.526   60.000   0.020   34.142   14.456   6139.239   2599.353   0.290   0.258   1.439   -81.800   0.094   5.527   0.278   60.625   10.768   
12.288   10.004   0.285   1.034   26.541   60.000   0.020   33.815   16.101   6076.136   2893.080   0.289   0.258   1.440   -79.750   0.117   5.534   0.278   61.198   12.465   
12.567   10.283   0.284   1.040   26.558   60.000   0.020   33.499   17.562   6012.490   3152.158   0.289   0.257   1.441   -77.700   0.141   5.541   0.279   61.765   13.840   
12.846   10.562   0.283   1.047   26.577   60.000   0.020   33.194   18.880   5948.046   3383.176   0.289   0.257   1.442   -75.650   0.164   5.549   0.279   62.330   14.930   
13.126   10.842   0.282   1.054   26.598   60.000   0.020   32.901   20.080   5882.567   3590.200   0.289   0.257   1.443   -73.600   0.188   5.557   0.280   62.896   15.768   
13.406   11.122   0.281   1.061   26.621   60.000   0.021   32.621   21.179   5815.830   3775.847   0.288   0.257   1.444   -71.550   0.212   5.567   0.280   63.468   16.384   
13.688   11.404   0.280   1.067   26.645   60.000   0.021   32.355   22.190   5747.633   3941.833   0.288   0.257   1.446   -69.500   0.237   5.577   0.281   64.049   16.807   
13.970   11.686   0.279   1.071   26.651   60.000   0.021   32.174   22.765   5690.145   4026.117   0.288   0.256   1.446   -69.000   0.251   5.579   0.283   64.556   17.523   
14.254   11.970   0.279   1.075   26.658   60.000   0.021   31.994   23.325   5631.135   4105.399   0.288   0.256   1.446   -68.500   0.266   5.582   0.284   65.065   18.233   
14.540   12.256   0.278   1.078   26.665   60.000   0.021   31.814   23.871   5570.580   4179.786   0.288   0.256   1.447   -68.000   0.281   5.585   0.286   65.578   18.941   
14.827   12.543   0.278   1.082   26.673   60.000   0.022   31.634   24.403   5508.461   4249.356   0.288   0.256   1.447   -67.500   0.296   5.588   0.287   66.093   19.647   
15.116   12.832   0.277   1.086   26.680   60.000   0.022   31.455   24.923   5444.768   4314.161   0.288   0.256   1.447   -67.000   0.312   5.592   0.289   66.612   20.354   
15.407   13.123   0.277   1.089   26.688   60.000   0.022   31.276   25.431   5379.497   4374.229   0.288   0.256   1.448   -66.500   0.328   5.595   0.291   67.134   21.064   
15.699   13.415   0.276   1.093   26.696   60.000   0.023   31.097   25.928   5312.654   4429.569   0.288   0.256   1.448   -66.000   0.344   5.598   0.293   67.658   21.779   
15.994   13.710   0.276   1.097   26.705   60.000   0.023   30.919   26.414   5244.251   4480.173   0.288   0.256   1.449   -65.500   0.361   5.602   0.295   68.186   22.501   
16.291   14.007   0.275   1.100   26.714   60.000   0.023   30.740   26.889   5174.313   4526.017   0.287   0.256   1.449   -65.000   0.379   5.606   0.297   68.716   23.231   
16.591   14.307   0.275   1.104   26.722   60.000   0.024   30.563   27.354   5102.874   4567.063   0.287   0.256   1.450   -64.500   0.397   5.609   0.299   69.249   23.971   
16.893   14.609   0.274   1.109   26.723   60.000   0.024   30.320   27.893   5019.153   4617.360   0.287   0.256   1.450   -64.000   0.418   5.610   0.302   69.877   24.884   
17.197   14.913   0.274   1.113   26.724   60.000   0.025   30.078   28.418   4933.935   4661.596   0.287   0.256   1.450   -63.500   0.440   5.610   0.305   70.507   25.812   
17.505   15.221   0.273   1.117   26.725   60.000   0.025   29.837   28.929   4847.303   4699.742   0.287   0.256   1.450   -63.000   0.462   5.610   0.308   71.140   26.756   
17.816   15.532   0.273   1.122   26.726   60.000   0.026   29.597   29.426   4759.356   4731.760   0.287   0.256   1.450   -62.500   0.485   5.611   0.311   71.775   27.720   
18.130   15.846   0.272   1.126   26.727   60.000   0.026   29.359   29.908   4670.210   4757.599   0.287   0.256   1.450   -62.000   0.509   5.611   0.314   72.412   28.704   
