0.000   2.562   
111.910   2.840   
121.105   3.118   
121.192   3.396   
121.280   3.673   
121.369   3.951   
121.458   4.229   
121.547   4.507   
121.637   4.785   
121.727   5.063   
121.818   5.341   
121.909   5.619   
122.001   5.896   
122.093   6.174   
122.186   6.452   
122.279   6.730   
122.373   7.008   
122.467   7.286   
122.562   7.564   
122.657   7.842   
122.753   8.120   
122.850   8.397   
122.946   8.675   
123.044   8.953   
123.142   9.231   
123.240   9.509   
123.339   9.787   
123.439   10.065   
123.539   10.343   
123.640   10.620   
123.741   10.898   
123.747   11.176   
123.755   11.454   
123.764   11.732   
123.774   12.010   
123.786   12.288   
123.800   12.567   
123.815   12.846   
123.831   13.126   
123.848   13.406   
123.867   13.688   
123.872   13.970   
123.877   14.254   
123.883   14.540   
123.888   14.827   
123.894   15.116   
123.900   15.407   
123.907   15.699   
123.913   15.994   
123.920   16.291   
123.927   16.591   
123.927   16.893   
123.928   17.197   
123.929   17.505   
123.930   17.816   
123.931   18.130   
123.931   18.448   
123.932   18.770   
123.933   19.096   
123.934   19.426   
123.934   19.761   
123.929   20.101   
123.923   20.445   
123.917   20.796   
123.911   21.152   
123.904   21.515   
123.897   21.884   
123.889   22.260   
123.882   22.643   
123.873   23.034   
123.865   23.433   
123.849   23.841   
123.834   24.258   
123.817   24.684   
123.800   25.121   
123.783   25.567   
123.765   26.025   
123.746   26.494   
123.727   26.975   
123.707   27.468   
123.687   27.974   
123.874   28.494   
124.062   29.027   
124.254   29.575   
124.449   30.139   
124.646   30.719   
124.848   31.316   
125.052   31.931   
125.261   32.563   
125.473   33.215   
125.690   33.886   
125.684   34.577   
125.677   35.288   
125.671   36.020   
125.666   36.772   
125.660   37.544   
125.656   38.338   
125.651   39.153   
125.647   39.988   
125.644   40.845   
125.640   41.723   
125.631   42.622   
125.621   43.542   
125.613   44.484   
125.604   45.448   
125.596   46.433   
125.589   47.439   
125.582   48.468   
125.576   49.517   
125.570   50.589   
125.564   51.682   
125.552   52.797   
125.541   53.934   
125.530   55.092   
125.519   56.272   
125.509   57.474   
125.500   58.698   
125.491   59.944   
125.482   61.211   
125.475   62.500   
125.467   63.811   
125.454   65.144   
125.440   66.499   
125.428   67.875   
125.416   69.273   
125.404   70.693   
125.393   72.135   
125.383   73.599   
125.373   75.084   
125.364   76.591   
125.356   78.120   
125.341   79.671   
125.327   81.244   
125.314   82.838   
125.301   84.454   
125.289   86.092   
125.277   87.751   
125.266   89.432   
125.256   91.135   
125.247   92.859   
125.238   94.606   
125.223   96.373   
125.209   98.163   
125.195   99.974   
125.182   101.806   
125.170   103.660   
125.159   105.536   
125.148   107.433   
125.139   109.352   
125.130   111.292   
125.121   113.254   
125.071   115.237   
125.020   117.242   
124.970   119.268   
124.921   121.315   
124.871   123.384   
124.822   125.474   
124.773   127.585   
124.724   129.717   
124.676   131.870   
124.628   134.044   
124.625   136.239   
124.622   138.455   
124.620   140.692   
124.617   142.949   
124.615   145.226   
124.612   147.524   
124.610   149.841   
124.608   152.178   
124.606   154.535   
124.604   156.911   
124.602   159.306   
124.600   161.721   
124.598   164.155   
124.596   166.607   
124.594   169.078   
124.592   171.568   
124.591   174.076   
124.589   176.603   
124.587   179.147   
124.586   181.710   
124.584   184.291   
124.583   186.889   
124.582   189.506   
124.580   192.140   
124.579   194.791   
124.578   197.459   
124.576   200.145   
124.575   202.848   
124.574   205.569   
124.573   208.306   
124.571   211.059   
124.570   213.830   
124.569   216.617   
124.568   219.421   
124.567   222.241   
124.566   225.078   
124.565   227.930   
124.564   230.799   
124.563   233.684   
